team_name,date,event,opponent,map,result,opponent_rank,opponent_points
3dmax,2025-04-23,IEM Melbourne 2025,Faze,Dust2,1 - 13,9,209
3dmax,2025-04-23,IEM Melbourne 2025,Faze,Nuke,7 - 13,9,209
3dmax,2025-04-22,IEM Melbourne 2025,Big,Ancient,13 - 5,20,57
3dmax,2025-04-22,IEM Melbourne 2025,Big,Dust2,19 - 16,20,57
3dmax,2025-04-21,IEM Melbourne 2025,Gamerlegion,Ancient,4 - 13,11,161
3dmax,2025-04-21,IEM Melbourne 2025,Gamerlegion,Inferno,8 - 13,11,161
3dmax,2025-04-11,PGL Bucharest 2025,Faze,Anubis,0 - 13,9,209
3dmax,2025-04-11,PGL Bucharest 2025,Faze,Nuke,5 - 13,9,209
3dmax,2025-04-08,PGL Bucharest 2025,Aurora,Anubis,5 - 13,5,351
3dmax,2025-04-08,PGL Bucharest 2025,Aurora,Dust2,16 - 14,5,351
3dmax,2025-04-08,PGL Bucharest 2025,Aurora,Inferno,13 - 9,5,351
3dmax,2025-04-07,PGL Bucharest 2025,Astralis,Ancient,7 - 13,15,88
3dmax,2025-04-07,PGL Bucharest 2025,Astralis,Dust2,13 - 7,15,88
3dmax,2025-04-07,PGL Bucharest 2025,Astralis,Inferno,13 - 7,15,88
3dmax,2025-04-06,PGL Bucharest 2025,The Mongolz,Ancient,11 - 13,7,343
3dmax,2025-04-06,PGL Bucharest 2025,The Mongolz,Anubis,13 - 10,7,343
3dmax,2025-04-06,PGL Bucharest 2025,The Mongolz,Inferno,13 - 10,7,343
astralis,2025-05-13,PGL Astana 2025,Virtus.Pro,Ancient,13 - 9,12,157
astralis,2025-05-13,PGL Astana 2025,Virtus.Pro,Dust2,19 - 17,12,157
astralis,2025-05-13,PGL Astana 2025,Virtus.Pro,Inferno,9 - 13,12,157
astralis,2025-05-12,PGL Astana 2025,Spirit,Ancient,5 - 13,3,555
astralis,2025-05-12,PGL Astana 2025,Spirit,Dust2,7 - 13,3,555
astralis,2025-05-11,PGL Astana 2025,Pain,Inferno,13 - 9,16,69
astralis,2025-05-11,PGL Astana 2025,Pain,Nuke,13 - 4,16,69
astralis,2025-05-10,PGL Astana 2025,Oddik,Ancient,2 - 13,31,29
astralis,2025-05-10,PGL Astana 2025,Oddik,Dust2,13 - 9,31,29
astralis,2025-05-10,PGL Astana 2025,Oddik,Inferno,13 - 7,31,29
astralis,2025-04-17,BLAST.tv Austin Major 2025 Europe Regional Qualifier,B8,Ancient,14 - 16,23,51
astralis,2025-04-17,BLAST.tv Austin Major 2025 Europe Regional Qualifier,B8,Inferno,13 - 7,23,51
astralis,2025-04-17,BLAST.tv Austin Major 2025 Europe Regional Qualifier,B8,Mirage,10 - 13,23,51
astralis,2025-04-16,BLAST.tv Austin Major 2025 Europe Regional Qualifier,Big,Ancient,13 - 7,20,57
astralis,2025-04-16,BLAST.tv Austin Major 2025 Europe Regional Qualifier,Big,Inferno,13 - 9,20,57
astralis,2025-04-16,BLAST.tv Austin Major 2025 Europe Regional Qualifier,Big,Mirage,11 - 13,20,57
astralis,2025-04-16,BLAST.tv Austin Major 2025 Europe Regional Qualifier,Metizport,Ancient,9 - 13,43,20
astralis,2025-04-16,BLAST.tv Austin Major 2025 Europe Regional Qualifier,Metizport,Inferno,9 - 13,43,20
astralis,2025-04-16,BLAST.tv Austin Major 2025 Europe Regional Qualifier,Metizport,Mirage,13 - 7,43,20
astralis,2025-04-10,PGL Bucharest 2025,Virtus.Pro,Dust2,10 - 13,12,157
astralis,2025-04-10,PGL Bucharest 2025,Virtus.Pro,Train,6 - 13,12,157
astralis,2025-04-09,PGL Bucharest 2025,Legacy,Ancient,13 - 7,29,31
astralis,2025-04-09,PGL Bucharest 2025,Legacy,Dust2,7 - 13,29,31
astralis,2025-04-09,PGL Bucharest 2025,Legacy,Nuke,19 - 16,29,31
